Termo,Quantidade,Stemmer
desditosa,1,NoStem
guarde,1,NoStem
titularizar,4,NoStem
espelhada,4,NoStem
3640,1,NoStem
olvidarem,4,NoStem
característica,23,NoStem
titularizam,2,NoStem
exibir,10,NoStem
conformes,1,NoStem
reiniciando,3,NoStem
3630,2,NoStem
característico,5,NoStem
desimpedida,1,NoStem
alicerçando,1,NoStem
cartorários,1,NoStem
borsoi,1,NoStem
recepção,10,NoStem
nominais,1,NoStem
conferisse,1,NoStem
abandonado,7,NoStem
0,394,NoStem
espelhado,4,NoStem
encobrir,1,NoStem
1,5164,NoStem
2,3596,NoStem
3,2374,NoStem
104707,1,NoStem
abandonada,1,NoStem
4,1871,NoStem
5,1472,NoStem
ednilson,15,NoStem
6,1400,NoStem
desimpedido,1,NoStem
7,857,NoStem
8,1232,NoStem
9,873,NoStem
3642,1,NoStem
3643,2,NoStem
simovick,1,NoStem
guarda,180,NoStem
abertamente,2,NoStem
70013736525,1,NoStem
panamericano,13,NoStem
guardas,1,NoStem
guardar,42,NoStem
guardam,20,NoStem
1000,4,NoStem
ilimitadamente,1,NoStem
vilipendiando,3,NoStem
sergipeprevidência,11,NoStem
desdobramentos,4,NoStem
atípico,6,NoStem
201400822716,1,NoStem
mercância,6,NoStem
retorquível,1,NoStem
3652,2,NoStem
pareçam,5,NoStem
empunhado,1,NoStem
refoge,6,NoStem
trezentosl,1,NoStem
atípica,7,NoStem
3659,1,NoStem
resume,15,NoStem
consorte,4,NoStem
a,103235,NoStem
incute,1,NoStem
b,510,NoStem
c,2788,NoStem
d,481,NoStem
resuma,1,NoStem
e,50304,NoStem
área,323,NoStem
3671,1,NoStem
f,290,NoStem
condenações,60,NoStem
g,101,NoStem
efetuadas,34,NoStem
h,39,NoStem
compreensível,9,NoStem
empunhada,1,NoStem
1011,1,NoStem
i,3260,NoStem
j,457,NoStem
postura,25,NoStem
201111200030,1,NoStem
k,3,NoStem
l,148,NoStem
edílson,2,NoStem
m,339,NoStem
n,2079,NoStem
anestésicos,2,NoStem
desincompatibilização,12,NoStem
o,74379,NoStem
p,1361,NoStem
danificações,4,NoStem
q,14,NoStem
r,3169,NoStem
edificações,3,NoStem
s,1140,NoStem
1005,1,NoStem
t,393,NoStem
1004,1,NoStem
motivador,2,NoStem
u,71,NoStem
1003,1,NoStem
v,1049,NoStem
1002,1,NoStem
motivados,3,NoStem
1001,2,NoStem
w,4,NoStem
deficientemente,10,NoStem
x,203,NoStem
3663,1,NoStem
y,1,NoStem
resumo,55,NoStem
z,18,NoStem
violentadas,1,NoStem
1009,1,NoStem
prefixação,4,NoStem
desprestigiar,2,NoStem
inscricao,1,NoStem
pregão,7,NoStem
preenchidoos,1,NoStem
3682,6,NoStem
1022,6,NoStem
arquitetar,1,NoStem
1020,2,NoStem
graciosa,1,NoStem
nominado,3,NoStem
parceria,14,NoStem
preteri,2,NoStem
características,73,NoStem
sangue,11,NoStem
1019,1,NoStem
reportou,3,NoStem
1018,3,NoStem
ínfima,32,NoStem
denunciadas,18,NoStem
1017,1,NoStem
200853000482,1,NoStem
1015,2,NoStem
preparadas,1,NoStem
1012,1,NoStem
tiroteio,1,NoStem
nominada,3,NoStem
manifestassem,3,NoStem
arrojado,1,NoStem
desconfiado,2,NoStem
improvisado,1,NoStem
753441,1,NoStem
notificar,8,NoStem
postula,26,NoStem
extraordinária,30,NoStem
vitima,20,NoStem
absorvido,10,NoStem
488227,1,NoStem
1032,3,NoStem
1031,3,NoStem
824309,1,NoStem
201401557,1,NoStem
­,47,NoStem
informativa,14,NoStem
812341,1,NoStem
coagi,2,NoStem
absorvida,1,NoStem
abruta,1,NoStem
1028,3,NoStem
1027,2,NoStem
2005105078,1,NoStem
1025,2,NoStem
826976,1,NoStem
1023,2,NoStem
·,35,NoStem
receiode,1,NoStem
restantes,13,NoStem
º,810,NoStem
fiscalizador,11,NoStem
3688,4,NoStem
¼,1,NoStem
½,5,NoStem
enomeada,1,NoStem
guardá,1,NoStem
porcentual,1,NoStem
permenorizadamente,1,NoStem
motivo,623,NoStem
arredados,1,NoStem
102c,6,NoStem
1044,3,NoStem
everaldina,1,NoStem
1042,1,NoStem
instaurada,16,NoStem
201401565,1,NoStem
endoscópico,2,NoStem
festa,13,NoStem
1040,1,NoStem
motiva,1,NoStem
1039,1,NoStem
1038,1,NoStem
1037,2,NoStem
motive,1,NoStem
1036,3,NoStem
extraordinário,268,NoStem
1034,2,NoStem
guarga,1,NoStem
instaurado,25,NoStem
inconcebível,16,NoStem
102a,2,NoStem
endoscópica,1,NoStem
à,14368,NoStem
á,205,NoStem
â,1,NoStem
ã,59,NoStem
endereco,1,NoStem
schuster,31,NoStem
è,9,NoStem
duplicar,1,NoStem
é,14458,NoStem
1054,1,NoStem
1053,1,NoStem
1052,3,NoStem
ínfimo,37,NoStem
curativo,2,NoStem
1051,2,NoStem
1050,2,NoStem
ó,148,NoStem
1048,3,NoStem
inspetor,2,NoStem
inconforma,3,NoStem
1047,2,NoStem
perpassados,1,NoStem
1046,4,NoStem
ú,2,NoStem
remessas,1,NoStem
forçosamente,10,NoStem
lançou,8,NoStem
379rddp,1,NoStem
1064,2,NoStem
1063,1,NoStem
1062,1,NoStem
1061,1,NoStem
1060,29,NoStem
subjuga,1,NoStem
fnmtes,1,NoStem
1059,14,NoStem
pacificado,91,NoStem
1057,1,NoStem
tríplice,8,NoStem
flor,4,NoStem
sindipetro,2,NoStem
perniciosa,1,NoStem
assaltantes,4,NoStem
jugada,2,NoStem
variada,1,NoStem
licenciou,1,NoStem
105g,1,NoStem
1076,2,NoStem
1075,1,NoStem
1074,2,NoStem
financiaria,1,NoStem
1073,1,NoStem
1072,15,NoStem
2007311065,1,NoStem
angular,2,NoStem
evaristo,2,NoStem
1069,1,NoStem
9140984,1,NoStem
