Chave,TUD,Stemmer
201100200560443632531,576,NoStem
201100200560443632531,517,Porter
201100200560443632531,480,RSLP
201100200560443632531,540,RSLPS
201100200560443632531,535,UniNE
201100209644443637052,844,NoStem
201100209644443637052,705,Porter
201100209644443637052,663,RSLP
201100209644443637052,785,RSLPS
201100209644443637052,765,UniNE
201200205060443635311,942,NoStem
201200205060443635311,768,Porter
201200205060443635311,716,RSLP
201200205060443635311,885,RSLPS
201200205060443635311,856,UniNE
201300104107443632651,547,NoStem
201300104107443632651,461,Porter
201300104107443632651,433,RSLP
201300104107443632651,519,RSLPS
201300104107443632651,506,UniNE
201300126509443634591,1201,NoStem
201300126509443634591,1005,Porter
201300126509443634591,939,RSLP
201300126509443634591,1124,RSLPS
201300126509443634591,1094,UniNE
201300200256443635261,299,NoStem
201300200256443635261,267,Porter
201300200256443635261,253,RSLP
201300200256443635261,281,RSLPS
201300200256443635261,283,UniNE
201300208234443633911,615,NoStem
201300208234443633911,531,Porter
201300208234443633911,491,RSLP
201300208234443633911,584,RSLPS
201300208234443633911,576,UniNE
201300209899443633862,1184,NoStem
201300209899443633862,991,Porter
201300209899443633862,927,RSLP
201300209899443633862,1127,RSLPS
201300209899443633862,1089,UniNE
201300211134443632422,538,NoStem
201300211134443632422,465,Porter
201300211134443632422,431,RSLP
201300211134443632422,506,RSLPS
201300211134443632422,495,UniNE
201300217009443633292,616,NoStem
201300217009443633292,526,Porter
201300217009443633292,492,RSLP
201300217009443633292,591,RSLPS
201300217009443633292,579,UniNE
201300217205443633641,597,NoStem
201300217205443633641,520,Porter
201300217205443633641,491,RSLP
201300217205443633641,567,RSLPS
201300217205443633641,557,UniNE
201300217351443636721,490,NoStem
201300217351443636721,422,Porter
201300217351443636721,401,RSLP
201300217351443636721,467,RSLPS
201300217351443636721,456,UniNE
201300217696443632861,1099,NoStem
201300217696443632861,917,Porter
201300217696443632861,851,RSLP
201300217696443632861,1038,RSLPS
201300217696443632861,1006,UniNE
201300217872443632811,551,NoStem
201300217872443632811,479,Porter
201300217872443632811,451,RSLP
201300217872443632811,525,RSLPS
201300217872443632811,518,UniNE
201300221141443632802,910,NoStem
201300221141443632802,741,Porter
201300221141443632802,681,RSLP
201300221141443632802,850,RSLPS
201300221141443632802,823,UniNE
201300221599443634051,1767,NoStem
201300221599443634051,1352,Porter
201300221599443634051,1243,RSLP
201300221599443634051,1630,RSLPS
