Termo,Quantidade,Stemmer
desalojadas,2,NoStem
espelhada,1,NoStem
característica,4,NoStem
70057800443,1,NoStem
exibir,4,NoStem
3639,1,NoStem
reiniciando,10,NoStem
desimpedida,2,NoStem
200911500989,3,NoStem
201311100945,1,NoStem
recepção,9,NoStem
nominais,1,NoStem
abandonado,7,NoStem
0,186,NoStem
encobrir,2,NoStem
espelhado,2,NoStem
1,4661,NoStem
2,3102,NoStem
fibrosas,1,NoStem
3,2336,NoStem
4,1570,NoStem
5,1181,NoStem
70038369906,2,NoStem
6,1052,NoStem
7,917,NoStem
desalijamento,2,NoStem
8,867,NoStem
9,816,NoStem
3642,1,NoStem
guarda,65,NoStem
corporificados,1,NoStem
romário,1,NoStem
panamericano,10,NoStem
guardar,7,NoStem
guardam,6,NoStem
1000,8,NoStem
sergipeprevidência,16,NoStem
desdobramentos,1,NoStem
refoge,2,NoStem
3658,1,NoStem
atípica,1,NoStem
resume,8,NoStem
a,66476,NoStem
b,366,NoStem
c,2437,NoStem
d,327,NoStem
e,30261,NoStem
área,87,NoStem
f,162,NoStem
condenações,30,NoStem
g,37,NoStem
efetuadas,10,NoStem
h,43,NoStem
compreensível,5,NoStem
1011,2,NoStem
i,2644,NoStem
maripel,1,NoStem
j,294,NoStem
postura,9,NoStem
k,7,NoStem
l,36,NoStem
edílson,4,NoStem
m,408,NoStem
n,2365,NoStem
o,50651,NoStem
glady,1,NoStem
p,1287,NoStem
1007,1,NoStem
q,2,NoStem
r,2304,NoStem
edificações,2,NoStem
20100020082232agi,1,NoStem
s,994,NoStem
t,244,NoStem
motivador,13,NoStem
u,51,NoStem
v,563,NoStem
deficientemente,27,NoStem
motivados,4,NoStem
1001,1,NoStem
x,121,NoStem
3663,1,NoStem
resumo,43,NoStem
z,6,NoStem
information,2,NoStem
3669,2,NoStem
1009,1,NoStem
prefixação,1,NoStem
desconexos,1,NoStem
pregão,25,NoStem
roosewelt,1,NoStem
nominado,3,NoStem
parceria,1,NoStem
preteri,3,NoStem
características,16,NoStem
1019,1,NoStem
sangue,1,NoStem
reportou,2,NoStem
1018,2,NoStem
ínfima,10,NoStem
denunciadas,9,NoStem
1015,6,NoStem
conformis,5,NoStem
nominada,4,NoStem
manifestassem,3,NoStem
paulicéia,1,NoStem
3691,2,NoStem
notificar,1,NoStem
postula,27,NoStem
extraordinária,17,NoStem
vitima,6,NoStem
1033,1,NoStem
1032,1,NoStem
desafiava,1,NoStem
¬,6,NoStem
­,17,NoStem
absorvida,5,NoStem
1253324,1,NoStem
1028,1,NoStem
1027,14,NoStem
1026,1,NoStem
·,17,NoStem
1023,1,NoStem
espelhadas,1,NoStem
restantes,6,NoStem
º,895,NoStem
fiscalizador,8,NoStem
3689,1,NoStem
guardá,2,NoStem
motivo,277,NoStem
arredados,3,NoStem
0118008,4,NoStem
instaurada,14,NoStem
festa,13,NoStem
201401565,1,NoStem
motiva,3,NoStem
1039,5,NoStem
motive,1,NoStem
extraordinário,171,NoStem
instaurado,14,NoStem
inconcebível,4,NoStem
102a,1,NoStem
248706288,1,NoStem
à,9082,NoStem
á,186,NoStem
ã,96,NoStem
schuster,54,NoStem
è,16,NoStem
é,9564,NoStem
1054,3,NoStem
201110307084,1,NoStem
1052,1,NoStem
ínfimo,13,NoStem
1051,1,NoStem
1046,1,NoStem
1045,1,NoStem
ú,1,NoStem
forçosamente,1,NoStem
lançou,4,NoStem
priscilla,2,NoStem
199752010213,1,NoStem
1060,65,NoStem
114109,1,NoStem
199752010218,1,NoStem
1059,5,NoStem
pacificado,138,NoStem
1058,1,NoStem
tríplice,5,NoStem
enste,1,NoStem
exibam,1,NoStem
assaltantes,1,NoStem
variada,2,NoStem
70054124102,2,NoStem
juraci,2,NoStem
1075,1,NoStem
1072,10,NoStem
jugado,2,NoStem
1067,9,NoStem
srta,1,NoStem
cotejados,6,NoStem
tereza,7,NoStem
colegas,1,NoStem
ditames,59,NoStem
amônia,2,NoStem
1087,7,NoStem
