Chave,TUD,Stemmer
201000109069371639861,254,NoStem
201000109069371639861,238,Porter
201000109069371639861,225,RSLP
201000109069371639861,247,RSLPS
201000109069371639861,243,UniNE
201000111397371640692,222,NoStem
201000111397371640692,210,Porter
201000111397371640692,193,RSLP
201000111397371640692,209,RSLPS
201000111397371640692,212,UniNE
201000118477371638801,231,NoStem
201000118477371638801,214,Porter
201000118477371638801,203,RSLP
201000118477371638801,225,RSLPS
201000118477371638801,220,UniNE
201100109164371640701,250,NoStem
201100109164371640701,233,Porter
201100109164371640701,221,RSLP
201100109164371640701,244,RSLPS
201100109164371640701,238,UniNE
201100113247371640702,192,NoStem
201100113247371640702,183,Porter
201100113247371640702,170,RSLP
201100113247371640702,181,RSLPS
201100113247371640702,183,UniNE
201200101424371636902,272,NoStem
201200101424371636902,243,Porter
201200101424371636902,234,RSLP
201200101424371636902,261,RSLPS
201200101424371636902,262,UniNE
201200108232371640692,219,NoStem
201200108232371640692,207,Porter
201200108232371640692,190,RSLP
201200108232371640692,206,RSLPS
201200108232371640692,209,UniNE
201200110924371635861,179,NoStem
201200110924371635861,171,Porter
201200110924371635861,161,RSLP
201200110924371635861,173,RSLPS
201200110924371635861,172,UniNE
201200111830371637431,209,NoStem
201200111830371637431,197,Porter
201200111830371637431,185,RSLP
201200111830371637431,205,RSLPS
201200111830371637431,200,UniNE
201200112118371637331,191,NoStem
201200112118371637331,184,Porter
201200112118371637331,179,RSLP
201200112118371637331,186,RSLPS
201200112118371637331,188,UniNE
201200113046371635861,244,NoStem
201200113046371635861,224,Porter
201200113046371635861,209,RSLP
201200113046371635861,231,RSLPS
201200113046371635861,231,UniNE
201200114462371638962,53,NoStem
201200114462371638962,53,Porter
201200114462371638962,52,RSLP
201200114462371638962,52,RSLPS
201200114462371638962,53,UniNE
201200116308371636152,586,NoStem
201200116308371636152,520,Porter
201200116308371636152,487,RSLP
201200116308371636152,559,RSLPS
201200116308371636152,552,UniNE
201200121814371635741,151,NoStem
201200121814371635741,145,Porter
201200121814371635741,136,RSLP
201200121814371635741,149,RSLPS
201200121814371635741,147,UniNE
201300101499371632351,246,NoStem
201300101499371632351,228,Porter
201300101499371632351,217,RSLP
201300101499371632351,235,RSLPS
201300101499371632351,236,UniNE
201300104565371632801,184,NoStem
201300104565371632801,170,Porter
201300104565371632801,158,RSLP
201300104565371632801,174,RSLPS
201300104565371632801,169,UniNE
201300106752371635041,275,NoStem
201300106752371635041,253,Porter
201300106752371635041,236,RSLP
201300106752371635041,258,RSLPS
201300106752371635041,260,UniNE
201300107914371641551,223,NoStem
201300107914371641551,213,Porter
201300107914371641551,201,RSLP
201300107914371641551,216,RSLPS
201300107914371641551,217,UniNE
201300110658371634542,170,NoStem
201300110658371634542,163,Porter
201300110658371634542,153,RSLP
201300110658371634542,166,RSLPS
201300110658371634542,169,UniNE
201300112933371633541,245,NoStem
201300112933371633541,227,Porter
201300112933371633541,212,RSLP
201300112933371633541,233,RSLPS
201300112933371633541,235,UniNE
201300113043371636801,152,NoStem
201300113043371636801,143,Porter
201300113043371636801,138,RSLP
201300113043371636801,149,RSLPS
201300113043371636801,146,UniNE
201300118885371636791,226,NoStem
201300118885371636791,212,Porter
201300118885371636791,201,RSLP
201300118885371636791,222,RSLPS
201300118885371636791,216,UniNE
201300119270371634631,252,NoStem
201300119270371634631,231,Porter
201300119270371634631,217,RSLP
201300119270371634631,237,RSLPS
201300119270371634631,237,UniNE
201300123873371639772,54,NoStem
201300123873371639772,54,Porter
201300123873371639772,52,RSLP
