Termo,Quantidade,Stemmer
guarde,1,NoStem
espelhada,4,NoStem
201483501227,1,NoStem
característica,13,NoStem
201183500397,1,NoStem
3631,4,NoStem
3635,1,NoStem
exibiu,1,NoStem
201501000288,2,NoStem
inexistepoder,1,NoStem
postulá,3,NoStem
3650,1,NoStem
3651,1,NoStem
recepção,11,NoStem
nominais,1,NoStem
porcessual,3,NoStem
compensatóriopara,1,NoStem
0,158,NoStem
1,3347,NoStem
2,2551,NoStem
3,1259,NoStem
abandonada,2,NoStem
4,930,NoStem
71001453786,1,NoStem
5,1056,NoStem
6,1589,NoStem
7,439,NoStem
8,627,NoStem
9,3800,NoStem
guarda,143,NoStem
3648,1,NoStem
romário,1,NoStem
panamericano,27,NoStem
guardar,12,NoStem
guardam,1,NoStem
3661,2,NoStem
201301006133,2,NoStem
1000,2,NoStem
201340802495,1,NoStem
sergipeprevidência,3,NoStem
201301006130,2,NoStem
atípico,2,NoStem
201240302801,1,NoStem
3652,1,NoStem
3653,1,NoStem
refoge,4,NoStem
3657,1,NoStem
atípica,7,NoStem
3659,1,NoStem
resume,14,NoStem
a,102881,NoStem
incute,1,NoStem
b,225,NoStem
c,837,NoStem
d,112,NoStem
e,43117,NoStem
área,40,NoStem
condenações,58,NoStem
f,315,NoStem
g,82,NoStem
efetuadas,26,NoStem
compreensível,3,NoStem
h,21,NoStem
i,960,NoStem
j,204,NoStem
postura,34,NoStem
comprara,1,NoStem
l,54,NoStem
ahonorários,2,NoStem
m,177,NoStem
nº201300212500,1,NoStem
n,1098,NoStem
o,52331,NoStem
p,796,NoStem
1008,1,NoStem
q,5,NoStem
1007,1,NoStem
r,5280,NoStem
s,1451,NoStem
t,29,NoStem
motivador,5,NoStem
u,41,NoStem
locomovendo,1,NoStem
v,278,NoStem
deficientemente,1,NoStem
motivados,1,NoStem
x,154,NoStem
y,2,NoStem
resumo,22,NoStem
201501000295,2,NoStem
3666,1,NoStem
confortante,1,NoStem
prefixação,2,NoStem
desprestigiar,4,NoStem
pregão,1,NoStem
natalice,1,NoStem
rt706,1,NoStem
1022,1,NoStem
