Chave,TUD,Stemmer
201501012210371641701,580,NoStem
201501012210371641701,508,Porter
201501012210371641701,479,RSLP
201501012210371641701,556,RSLPS
201501012210371641701,545,UniNE
201501005308371641671,243,NoStem
201501005308371641671,228,Porter
201501005308371641671,219,RSLP
201501005308371641671,242,RSLPS
201501005308371641671,235,UniNE
201501011101371641671,400,NoStem
201501011101371641671,368,Porter
201501011101371641671,351,RSLP
201501011101371641671,389,RSLPS
201501011101371641671,383,UniNE
201501011547371641671,415,NoStem
201501011547371641671,371,Porter
201501011547371641671,344,RSLP
201501011547371641671,395,RSLPS
201501011547371641671,394,UniNE
201501012066371641671,401,NoStem
201501012066371641671,365,Porter
201501012066371641671,344,RSLP
201501012066371641671,385,RSLPS
201501012066371641671,382,UniNE
201501009890371641621,360,NoStem
201501009890371641621,329,Porter
201501009890371641621,310,RSLP
201501009890371641621,352,RSLPS
201501009890371641621,348,UniNE
201501009937371641621,336,NoStem
201501009937371641621,305,Porter
201501009937371641621,286,RSLP
201501009937371641621,322,RSLPS
201501009937371641621,319,UniNE
201501010456371641621,490,NoStem
201501010456371641621,432,Porter
201501010456371641621,405,RSLP
201501010456371641621,466,RSLPS
201501010456371641621,458,UniNE
201501011920371641621,723,NoStem
201501011920371641621,627,Porter
201501011920371641621,585,RSLP
201501011920371641621,692,RSLPS
201501011920371641621,679,UniNE
201601000239371641623,772,NoStem
201601000239371641623,636,Porter
201601000239371641623,590,RSLP
201601000239371641623,727,RSLPS
201601000239371641623,697,UniNE
201501010372371641601,316,NoStem
201501010372371641601,296,Porter
201501010372371641601,274,RSLP
201501010372371641601,302,RSLPS
201501010372371641601,301,UniNE
201501010427371641601,781,NoStem
201501010427371641601,655,Porter
201501010427371641601,608,RSLP
201501010427371641601,741,RSLPS
201501010427371641601,719,UniNE
201501011288371641601,782,NoStem
201501011288371641601,649,Porter
201501011288371641601,606,RSLP
201501011288371641601,736,RSLPS
201501011288371641601,708,UniNE
201501011346371641601,767,NoStem
201501011346371641601,660,Porter
201501011346371641601,603,RSLP
201501011346371641601,710,RSLPS
201501011346371641601,699,UniNE
201501008866371641561,238,NoStem
201501008866371641561,230,Porter
201501008866371641561,212,RSLP
201501008866371641561,230,RSLPS
201501008866371641561,232,UniNE
201501010937371641561,467,NoStem
201501010937371641561,405,Porter
201501010937371641561,376,RSLP
201501010937371641561,449,RSLPS
201501010937371641561,439,UniNE
201501011157371641561,294,NoStem
