Chave,TUD,Stemmer
200600900451331607532,266,NoStem
200600900451331607532,247,Porter
200600900451331607532,232,RSLP
200600900451331607532,259,RSLPS
200600900451331607532,256,UniNE
200800800040331610231,208,NoStem
200800800040331610231,200,Porter
200800800040331610231,192,RSLP
200800800040331610231,204,RSLPS
200800800040331610231,202,UniNE
200900900198331614752,330,NoStem
200900900198331614752,297,Porter
200900900198331614752,278,RSLP
200900900198331614752,315,RSLPS
200900900198331614752,316,UniNE
200900901651331616431,218,NoStem
200900901651331616431,203,Porter
200900901651331616431,196,RSLP
200900901651331616431,215,RSLPS
200900901651331616431,217,UniNE
200600800355331605561,270,NoStem
200600800355331605561,258,Porter
200600800355331605561,246,RSLP
200600800355331605561,260,RSLPS
200600800355331605561,262,UniNE
200600800775331606681,242,NoStem
200600800775331606681,229,Porter
200600800775331606681,215,RSLP
200600800775331606681,231,RSLPS
200600800775331606681,233,UniNE
200700800471331609481,523,NoStem
200700800471331609481,470,Porter
200700800471331609481,443,RSLP
200700800471331609481,493,RSLPS
200700800471331609481,491,UniNE
200700900519331608301,29,NoStem
200700900519331608301,29,Porter
200700900519331608301,29,RSLP
200700900519331608301,29,RSLPS
200700900519331608301,29,UniNE
200800900020331611421,193,NoStem
200800900020331611421,181,Porter
200800900020331611421,173,RSLP
200800900020331611421,186,RSLPS
200800900020331611421,187,UniNE
200800900091331613051,296,NoStem
200800900091331613051,277,Porter
200800900091331613051,265,RSLP
200800900091331613051,286,RSLPS
200800900091331613051,283,UniNE
200800900234331613001,170,NoStem
200800900234331613001,164,Porter
200800900234331613001,156,RSLP
200800900234331613001,164,RSLPS
200800900234331613001,166,UniNE
201000801455371619711,302,NoStem
201000801455371619711,279,Porter
201000801455371619711,265,RSLP
201000801455371619711,294,RSLPS
201000801455371619711,295,UniNE
201100900001371621171,460,NoStem
201100900001371621171,424,Porter
201100900001371621171,402,RSLP
201100900001371621171,446,RSLPS
201100900001371621171,441,UniNE
201100900074371621741,146,NoStem
201100900074371621741,137,Porter
201100900074371621741,128,RSLP
201100900074371621741,138,RSLPS
201100900074371621741,137,UniNE
201100800583371622872,23,NoStem
201100800583371622872,23,Porter
201100800583371622872,23,RSLP
201100800583371622872,23,RSLPS
201100800583371622872,23,UniNE
201100901149371623001,138,NoStem
201100901149371623001,129,Porter
